,booking_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_confederation,player_id,yellow_card,red_card,referee_id,ref_confederation,year
0,B-0001,WC-1970,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,T-72,Soviet Union,UEFA,P-33189,1,0,R-440,UEFA,1970
1,B-0002,WC-1970,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,T-72,Soviet Union,UEFA,P-43733,1,0,R-440,UEFA,1970
2,B-0003,WC-1970,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,T-72,Soviet Union,UEFA,P-52906,1,0,R-440,UEFA,1970
3,B-0004,WC-1970,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,T-46,Mexico,CONCACAF,P-64553,1,0,R-440,UEFA,1970
4,B-0005,WC-1970,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,T-72,Soviet Union,UEFA,P-70408,1,0,R-440,UEFA,1970
5,B-0006,WC-1970,M-1970-06,Italy vs Sweden,1970-06-03,group stage,T-74,Sweden,UEFA,P-20172,1,0,R-429,UEFA,1970
6,B-0007,WC-1970,M-1970-07,Brazil vs Czechoslovakia,1970-06-03,group stage,T-09,Brazil,CONMEBOL,P-04354,1,0,R-043,CONMEBOL,1970
7,B-0008,WC-1970,M-1970-11,Romania vs Czechoslovakia,1970-06-06,group stage,T-61,Romania,UEFA,P-41601,1,0,R-118,CONCACAF,1970
8,B-0009,WC-1970,M-1970-11,Romania vs Czechoslovakia,1970-06-06,group stage,T-21,Czechoslovakia,UEFA,P-25708,1,0,R-118,CONCACAF,1970
9,B-0010,WC-1970,M-1970-13,Mexico vs El Salvador,1970-06-07,group stage,T-27,El Salvador,CONCACAF,P-54377,1,0,R-214,CAF,1970
10,B-0011,WC-1970,M-1970-13,Mexico vs El Salvador,1970-06-07,group stage,T-27,El Salvador,CONCACAF,P-60582,1,0,R-214,CAF,1970
11,B-0012,WC-1970,M-1970-13,Mexico vs El Salvador,1970-06-07,group stage,T-27,El Salvador,CONCACAF,P-08268,1,0,R-214,CAF,1970
12,B-0013,WC-1970,M-1970-13,Mexico vs El Salvador,1970-06-07,group stage,T-27,El Salvador,CONCACAF,P-10096,1,0,R-214,CAF,1970
13,B-0014,WC-1970,M-1970-14,Sweden vs Israel,1970-06-07,group stage,T-40,Israel,UEFA,P-08449,1,0,R-427,CAF,1970
14,B-0015,WC-1970,M-1970-14,Sweden vs Israel,1970-06-07,group stage,T-74,Sweden,UEFA,P-61494,1,0,R-427,CAF,1970
15,B-0016,WC-1970,M-1970-14,Sweden vs Israel,1970-06-07,group stage,T-40,Israel,UEFA,P-87631,1,0,R-427,CAF,1970
16,B-0017,WC-1970,M-1970-15,Brazil vs England,1970-06-07,group stage,T-28,England,UEFA,P-88728,1,0,R-223,UEFA,1970
17,B-0018,WC-1970,M-1970-17,Soviet Union vs El Salvador,1970-06-10,group stage,T-72,Soviet Union,UEFA,P-98262,1,0,R-194,CONMEBOL,1970
18,B-0019,WC-1970,M-1970-19,Brazil vs Romania,1970-06-10,group stage,T-61,Romania,UEFA,P-26224,1,0,R-274,UEFA,1970
19,B-0020,WC-1970,M-1970-19,Brazil vs Romania,1970-06-10,group stage,T-61,Romania,UEFA,P-61942,1,0,R-274,UEFA,1970
20,B-0021,WC-1970,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,T-06,Belgium,UEFA,P-94646,1,0,R-319,CONMEBOL,1970
21,B-0022,WC-1970,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,T-46,Mexico,CONCACAF,P-07812,1,0,R-319,CONMEBOL,1970
22,B-0023,WC-1970,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,T-46,Mexico,CONCACAF,P-64553,1,0,R-319,CONMEBOL,1970
23,B-0024,WC-1970,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,T-06,Belgium,UEFA,P-98745,1,0,R-319,CONMEBOL,1970
24,B-0025,WC-1970,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,T-06,Belgium,UEFA,P-42364,1,0,R-319,CONMEBOL,1970
25,B-0026,WC-1970,M-1970-22,Italy vs Israel,1970-06-11,group stage,T-40,Israel,UEFA,P-87631,1,0,R-466,CONMEBOL,1970
26,B-0027,WC-1970,M-1970-22,Italy vs Israel,1970-06-11,group stage,T-40,Israel,UEFA,P-92635,1,0,R-466,CONMEBOL,1970
27,B-0028,WC-1970,M-1970-22,Italy vs Israel,1970-06-11,group stage,T-41,Italy,UEFA,P-92154,1,0,R-466,CONMEBOL,1970
28,B-0029,WC-1970,M-1970-23,England vs Czechoslovakia,1970-06-11,group stage,T-21,Czechoslovakia,UEFA,P-49133,1,0,R-259,UEFA,1970
29,B-0030,WC-1970,M-1970-26,Italy vs Mexico,1970-06-14,quarter-finals,T-41,Italy,UEFA,P-62214,1,0,R-394,UEFA,1970
30,B-0031,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-84,Uruguay,CONMEBOL,P-83747,1,0,R-456,UEFA,1970
31,B-0032,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-84,Uruguay,CONMEBOL,P-83931,1,0,R-456,UEFA,1970
32,B-0033,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-72,Soviet Union,UEFA,P-33189,1,0,R-456,UEFA,1970
33,B-0034,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-84,Uruguay,CONMEBOL,P-63224,1,0,R-456,UEFA,1970
34,B-0035,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-72,Soviet Union,UEFA,P-17002,1,0,R-456,UEFA,1970
35,B-0036,WC-1970,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,T-72,Soviet Union,UEFA,P-02102,1,0,R-456,UEFA,1970
36,B-0037,WC-1970,M-1970-28,West Germany vs England,1970-06-14,quarter-finals,T-28,England,UEFA,P-88728,1,0,R-319,CONMEBOL,1970
37,B-0038,WC-1970,M-1970-28,West Germany vs England,1970-06-14,quarter-finals,T-86,West Germany,UEFA,P-72441,1,0,R-319,CONMEBOL,1970
38,B-0039,WC-1970,M-1970-29,Brazil vs Uruguay,1970-06-17,semi-finals,T-84,Uruguay,CONMEBOL,P-50162,1,0,R-329,UEFA,1970
39,B-0040,WC-1970,M-1970-29,Brazil vs Uruguay,1970-06-17,semi-finals,T-84,Uruguay,CONMEBOL,P-48169,1,0,R-329,UEFA,1970
40,B-0041,WC-1970,M-1970-29,Brazil vs Uruguay,1970-06-17,semi-finals,T-84,Uruguay,CONMEBOL,P-40429,1,0,R-329,UEFA,1970
41,B-0042,WC-1970,M-1970-29,Brazil vs Uruguay,1970-06-17,semi-finals,T-09,Brazil,CONMEBOL,P-25829,1,0,R-329,UEFA,1970
42,B-0043,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-41,Italy,UEFA,P-45085,1,0,R-486,CONMEBOL,1970
43,B-0044,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-86,West Germany,UEFA,P-60896,1,0,R-486,CONMEBOL,1970
44,B-0045,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-86,West Germany,UEFA,P-72441,1,0,R-486,CONMEBOL,1970
45,B-0046,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-41,Italy,UEFA,P-73673,1,0,R-486,CONMEBOL,1970
46,B-0047,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-41,Italy,UEFA,P-77530,1,0,R-486,CONMEBOL,1970
47,B-0048,WC-1970,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,T-41,Italy,UEFA,P-67671,1,0,R-486,CONMEBOL,1970
48,B-0049,WC-1970,M-1970-31,West Germany vs Uruguay,1970-06-20,third-place match,T-86,West Germany,UEFA,P-86015,1,0,R-392,UEFA,1970
49,B-0050,WC-1970,M-1970-31,West Germany vs Uruguay,1970-06-20,third-place match,T-84,Uruguay,CONMEBOL,P-63224,1,0,R-392,UEFA,1970
50,B-0051,WC-1970,M-1970-32,Brazil vs Italy,1970-06-21,final,T-41,Italy,UEFA,P-42540,1,0,R-171,UEFA,1970
