,tournament_id,match_id,match_name,stage_name,match_date,home_team_id,home_team_name,home_team_confederation,away_team_id,away_team_confederation,away_team_name,score,home_team_score,away_team_score,home_team_score_margin,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,win_team_name,win_team_conf
0,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,1970-05-31,T-46,Mexico,CONCACAF,T-72,UEFA,Soviet Union,0–0,0,0,0,0,0,0,0,draw,0,0,1,,
1,WC-1970,M-1970-02,Uruguay vs Israel,group stage,1970-06-02,T-84,Uruguay,CONMEBOL,T-40,UEFA,Israel,2–0,2,0,2,0,0,0,0,home team win,1,0,0,Uruguay,CONMEBOL
2,WC-1970,M-1970-03,England vs Romania,group stage,1970-06-02,T-28,England,UEFA,T-61,UEFA,Romania,1–0,1,0,1,0,0,0,0,home team win,1,0,0,England,UEFA
3,WC-1970,M-1970-04,Peru vs Bulgaria,group stage,1970-06-02,T-56,Peru,CONMEBOL,T-10,UEFA,Bulgaria,3–2,3,2,1,0,0,0,0,home team win,1,0,0,Peru,CONMEBOL
4,WC-1970,M-1970-05,Belgium vs El Salvador,group stage,1970-06-03,T-06,Belgium,UEFA,T-27,CONCACAF,El Salvador,3–0,3,0,3,0,0,0,0,home team win,1,0,0,Belgium,UEFA
5,WC-1970,M-1970-06,Italy vs Sweden,group stage,1970-06-03,T-41,Italy,UEFA,T-74,UEFA,Sweden,1–0,1,0,1,0,0,0,0,home team win,1,0,0,Italy,UEFA
6,WC-1970,M-1970-07,Brazil vs Czechoslovakia,group stage,1970-06-03,T-09,Brazil,CONMEBOL,T-21,UEFA,Czechoslovakia,4–1,4,1,3,0,0,0,0,home team win,1,0,0,Brazil,CONMEBOL
7,WC-1970,M-1970-08,West Germany vs Morocco,group stage,1970-06-03,T-86,West Germany,UEFA,T-47,CAF,Morocco,2–1,2,1,1,0,0,0,0,home team win,1,0,0,West Germany,UEFA
8,WC-1970,M-1970-09,Soviet Union vs Belgium,group stage,1970-06-06,T-72,Soviet Union,UEFA,T-06,UEFA,Belgium,4–1,4,1,3,0,0,0,0,home team win,1,0,0,Soviet Union,UEFA
9,WC-1970,M-1970-10,Uruguay vs Italy,group stage,1970-06-06,T-84,Uruguay,CONMEBOL,T-41,UEFA,Italy,0–0,0,0,0,0,0,0,0,draw,0,0,1,,
10,WC-1970,M-1970-11,Romania vs Czechoslovakia,group stage,1970-06-06,T-61,Romania,UEFA,T-21,UEFA,Czechoslovakia,2–1,2,1,1,0,0,0,0,home team win,1,0,0,Romania,UEFA
11,WC-1970,M-1970-12,Peru vs Morocco,group stage,1970-06-06,T-56,Peru,CONMEBOL,T-47,CAF,Morocco,3–0,3,0,3,0,0,0,0,home team win,1,0,0,Peru,CONMEBOL
12,WC-1970,M-1970-13,Mexico vs El Salvador,group stage,1970-06-07,T-46,Mexico,CONCACAF,T-27,CONCACAF,El Salvador,4–0,4,0,4,0,0,0,0,home team win,1,0,0,Mexico,CONCACAF
13,WC-1970,M-1970-14,Sweden vs Israel,group stage,1970-06-07,T-74,Sweden,UEFA,T-40,UEFA,Israel,1–1,1,1,0,0,0,0,0,draw,0,0,1,,
