,match_id,team_id,team_confederation,referee_id,ref_confederation,yellow_card
0,M-1970-01,T-46,CONCACAF,R-440,UEFA,1
1,M-1970-02,T-84,CONMEBOL,R-115,UEFA,0
2,M-1970-03,T-28,UEFA,R-254,UEFA,0
3,M-1970-04,T-56,CONMEBOL,R-392,UEFA,0
4,M-1970-05,T-06,UEFA,R-358,UEFA,0
5,M-1970-06,T-41,UEFA,R-429,UEFA,0
6,M-1970-07,T-09,CONMEBOL,R-043,CONMEBOL,1
7,M-1970-08,T-86,UEFA,R-456,UEFA,0
8,M-1970-09,T-72,UEFA,R-394,UEFA,0
9,M-1970-10,T-84,CONMEBOL,R-171,UEFA,0
10,M-1970-11,T-61,UEFA,R-118,CONCACAF,1
11,M-1970-12,T-56,CONMEBOL,R-036,UEFA,0
12,M-1970-13,T-46,CONCACAF,R-214,CAF,0
13,M-1970-14,T-74,UEFA,R-427,CAF,1
14,M-1970-15,T-09,CONMEBOL,R-223,UEFA,0
15,M-1970-16,T-86,UEFA,R-329,UEFA,0
16,M-1970-17,T-72,UEFA,R-194,CONMEBOL,1
17,M-1970-18,T-74,UEFA,R-234,CONCACAF,0
18,M-1970-19,T-09,CONMEBOL,R-274,UEFA,0
19,M-1970-20,T-86,UEFA,R-008,CONCACAF,0
20,M-1970-21,T-46,CONCACAF,R-319,CONMEBOL,2
21,M-1970-22,T-41,UEFA,R-466,CONMEBOL,1
22,M-1970-23,T-28,UEFA,R-259,UEFA,0
23,M-1970-24,T-10,UEFA,R-371,UEFA,0
24,M-1970-25,T-09,CONMEBOL,R-254,UEFA,0
25,M-1970-26,T-41,UEFA,R-394,UEFA,1
26,M-1970-27,T-72,UEFA,R-456,UEFA,3
27,M-1970-28,T-86,UEFA,R-319,CONMEBOL,1
28,M-1970-29,T-09,CONMEBOL,R-329,UEFA,1
29,M-1970-30,T-41,UEFA,R-486,CONMEBOL,4
30,M-1970-31,T-86,UEFA,R-392,UEFA,1
31,M-1970-32,T-09,CONMEBOL,R-171,UEFA,1
32,M-1974-01,T-09,CONMEBOL,R-394,UEFA,0
33,M-1974-02,T-86,UEFA,R-032,UEFA,0
34,M-1974-03,T-24,UEFA,R-309,CAF,3
35,M-1974-04,T-88,CAF,R-397,UEFA,1
36,M-1974-05,T-74,UEFA,R-340,CONMEBOL,0
37,M-1974-06,T-84,CONMEBOL,R-334,UEFA,3
38,M-1974-07,T-41,UEFA,R-249,CONMEBOL,0
39,M-1974-08,T-57,UEFA,R-434,UEFA,0
40,M-1974-09,T-04,AFC,R-308,CAF,0
41,M-1974-10,T-13,CONMEBOL,R-023,UEFA,2
42,M-1974-11,T-64,UEFA,R-452,UEFA,0
43,M-1974-12,T-87,UEFA,R-119,CONMEBOL,1
44,M-1974-13,T-10,UEFA,R-429,UEFA,1
45,M-1974-14,T-48,UEFA,R-478,CONCACAF,1
46,M-1974-15,T-03,CONMEBOL,R-218,UEFA,1
47,M-1974-16,T-34,CONCACAF,R-424,AFC,1
48,M-1974-17,T-04,AFC,R-311,AFC,0
49,M-1974-18,T-64,UEFA,R-177,CONCACAF,2
50,M-1974-19,T-88,CAF,R-360,UEFA,1
51,M-1974-20,T-24,UEFA,R-043,CONMEBOL,3
52,M-1974-21,T-10,UEFA,R-061,AFC,2
53,M-1974-22,T-74,UEFA,R-247,UEFA,0
54,M-1974-23,T-03,CONMEBOL,R-389,UEFA,2
55,M-1974-24,T-57,UEFA,R-475,UEFA,2
56,M-1974-25,T-87,UEFA,R-271,CONMEBOL,2
57,M-1974-26,T-09,CONMEBOL,R-434,UEFA,3
58,M-1974-27,T-48,UEFA,R-115,UEFA,2
59,M-1974-28,T-74,UEFA,R-043,CONMEBOL,0
60,M-1974-29,T-03,CONMEBOL,R-254,UEFA,1
61,M-1974-30,T-24,UEFA,R-394,UEFA,0
62,M-1974-31,T-57,UEFA,R-171,UEFA,0
63,M-1974-32,T-86,UEFA,R-218,UEFA,0
64,M-1974-33,T-57,UEFA,R-247,UEFA,0
65,M-1974-34,T-03,CONMEBOL,R-429,UEFA,1
66,M-1974-35,T-48,UEFA,R-440,UEFA,2
67,M-1974-36,T-74,UEFA,R-341,CONMEBOL,0
68,M-1974-37,T-09,CONMEBOL,R-023,UEFA,1
69,M-1974-38,T-48,UEFA,R-429,UEFA,3
70,M-1978-01,T-86,UEFA,R-319,CONMEBOL,0
71,M-1978-02,T-41,UEFA,R-360,UEFA,1
72,M-1978-03,T-79,CAF,R-178,UEFA,0
73,M-1978-04,T-03,CONMEBOL,R-166,UEFA,1
74,M-1978-05,T-05,UEFA,R-334,UEFA,0
75,M-1978-06,T-09,CONMEBOL,R-434,UEFA,1
76,M-1978-07,T-48,UEFA,R-177,CONCACAF,0
77,M-1978-08,T-56,CONMEBOL,R-142,UEFA,1
78,M-1978-09,T-41,UEFA,R-043,CONMEBOL,0
79,M-1978-10,T-57,UEFA,R-276,UEFA,0
80,M-1978-11,T-86,UEFA,R-064,AFC,1
81,M-1978-12,T-03,CONMEBOL,R-131,UEFA,0
82,M-1978-13,T-05,UEFA,R-103,UEFA,0
83,M-1978-14,T-09,CONMEBOL,R-174,UEFA,0
84,M-1978-15,T-48,UEFA,R-353,UEFA,1
85,M-1978-16,T-64,UEFA,R-309,CAF,0
86,M-1978-17,T-30,UEFA,R-097,CONMEBOL,0
87,M-1978-18,T-57,UEFA,R-311,AFC,0
88,M-1978-19,T-86,UEFA,R-181,CONMEBOL,1
89,M-1978-20,T-03,CONMEBOL,R-223,UEFA,0
90,M-1978-21,T-09,CONMEBOL,R-482,UEFA,0
91,M-1978-22,T-73,UEFA,R-057,UEFA,0
92,M-1978-23,T-56,CONMEBOL,R-207,UEFA,0
93,M-1978-24,T-64,UEFA,R-247,UEFA,1
94,M-1978-25,T-05,UEFA,R-178,UEFA,0
95,M-1978-26,T-41,UEFA,R-266,UEFA,0
96,M-1978-27,T-09,CONMEBOL,R-360,UEFA,0
97,M-1978-28,T-03,CONMEBOL,R-142,UEFA,1
98,M-1978-29,T-56,CONMEBOL,R-336,UEFA,2
99,M-1978-30,T-41,UEFA,R-373,UEFA,0
100,M-1978-31,T-48,UEFA,R-043,CONMEBOL,1
101,M-1978-32,T-03,CONMEBOL,R-334,UEFA,0
102,M-1978-33,T-05,UEFA,R-223,UEFA,2
103,M-1978-34,T-41,UEFA,R-276,UEFA,3
104,M-1978-35,T-09,CONMEBOL,R-408,CONMEBOL,0
105,M-1978-36,T-03,CONMEBOL,R-482,UEFA,0
106,M-1978-37,T-09,CONMEBOL,R-223,UEFA,2
107,M-1978-38,T-03,CONMEBOL,R-174,UEFA,2
108,M-1982-01,T-03,CONMEBOL,R-092,UEFA,1
109,M-1982-02,T-41,UEFA,R-459,UEFA,2
110,M-1982-03,T-09,CONMEBOL,R-232,UEFA,0
111,M-1982-04,T-56,CONMEBOL,R-479,UEFA,0
112,M-1982-05,T-36,UEFA,R-010,AFC,2
113,M-1982-06,T-64,UEFA,R-415,CONCACAF,0
114,M-1982-07,T-86,UEFA,R-230,CONMEBOL,1
115,M-1982-08,T-28,UEFA,R-166,UEFA,1
116,M-1982-09,T-73,UEFA,R-203,CONMEBOL,0
117,M-1982-10,T-13,CONMEBOL,R-081,CONMEBOL,1
118,M-1982-11,T-21,UEFA,R-134,CAF,0
119,M-1982-12,T-87,UEFA,R-154,UEFA,0
120,M-1982-13,T-41,UEFA,R-143,UEFA,1
121,M-1982-14,T-03,CONMEBOL,R-231,CAF,0
122,M-1982-15,T-09,CONMEBOL,R-337,CONCACAF,0
123,M-1982-16,T-57,UEFA,R-348,UEFA,1
124,M-1982-17,T-06,UEFA,R-302,UEFA,0
125,M-1982-18,T-72,UEFA,R-017,CAF,0
126,M-1982-19,T-86,UEFA,R-160,UEFA,0
127,M-1982-20,T-28,UEFA,R-103,UEFA,0
128,M-1982-21,T-73,UEFA,R-257,UEFA,2
129,M-1982-22,T-01,CAF,R-061,AFC,1
130,M-1982-23,T-30,UEFA,R-423,UEFA,1
131,M-1982-24,T-35,CONCACAF,R-089,AFC,0
132,M-1982-25,T-57,UEFA,R-460,CONCACAF,0
133,M-1982-26,T-06,UEFA,R-476,UEFA,2
134,M-1982-27,T-72,UEFA,R-360,UEFA,0
135,M-1982-28,T-41,UEFA,R-129,UEFA,1
136,M-1982-29,T-03,CONMEBOL,R-042,CONMEBOL,2
137,M-1982-30,T-09,CONMEBOL,R-283,UEFA,0
138,M-1982-31,T-01,CAF,R-295,CONCACAF,0
139,M-1982-32,T-30,UEFA,R-084,UEFA,1
140,M-1982-33,T-35,CONCACAF,R-086,CONMEBOL,1
141,M-1982-34,T-86,UEFA,R-447,UEFA,0
142,M-1982-35,T-28,UEFA,R-026,CONMEBOL,1
143,M-1982-36,T-73,UEFA,R-328,CONMEBOL,1
144,M-1982-37,T-05,UEFA,R-334,UEFA,1
145,M-1982-38,T-57,UEFA,R-337,CONCACAF,1
146,M-1982-39,T-41,UEFA,R-360,UEFA,2
147,M-1982-40,T-86,UEFA,R-097,CONMEBOL,1
148,M-1982-41,T-05,UEFA,R-353,UEFA,1
149,M-1982-42,T-06,UEFA,R-459,UEFA,0
150,M-1982-43,T-03,CONMEBOL,R-460,CONCACAF,1
151,M-1982-44,T-86,UEFA,R-084,UEFA,2
152,M-1982-45,T-30,UEFA,R-207,UEFA,1
153,M-1982-46,T-72,UEFA,R-447,UEFA,3
154,M-1982-47,T-41,UEFA,R-223,UEFA,2
155,M-1982-48,T-73,UEFA,R-348,UEFA,0
156,M-1982-49,T-57,UEFA,R-081,CONMEBOL,3
157,M-1982-50,T-86,UEFA,R-103,UEFA,1
158,M-1982-51,T-57,UEFA,R-166,UEFA,2
159,M-1982-52,T-41,UEFA,R-097,CONMEBOL,2
160,M-1986-01,T-10,UEFA,R-154,UEFA,1
161,M-1986-02,T-73,UEFA,R-040,AFC,1
162,M-1986-03,T-12,CONCACAF,R-406,CONMEBOL,0
163,M-1986-04,T-03,CONMEBOL,R-388,UEFA,0
164,M-1986-05,T-72,UEFA,R-006,UEFA,0
165,M-1986-06,T-47,CAF,R-278,CONMEBOL,1
166,M-1986-07,T-06,UEFA,R-145,CONMEBOL,1
167,M-1986-08,T-01,CAF,R-074,UEFA,1
168,M-1986-09,T-58,UEFA,R-382,UEFA,1
169,M-1986-10,T-55,CONMEBOL,R-345,CAF,1
170,M-1986-11,T-84,CONMEBOL,R-092,UEFA,2
171,M-1986-12,T-64,UEFA,R-313,UEFA,0
172,M-1986-13,T-41,UEFA,R-220,UEFA,1
173,M-1986-14,T-30,UEFA,R-027,CONMEBOL,2
174,M-1986-15,T-71,AFC,R-014,AFC,2
175,M-1986-16,T-36,UEFA,R-015,AFC,0
176,M-1986-17,T-09,CONMEBOL,R-295,CONCACAF,0
177,M-1986-18,T-28,UEFA,R-176,CONMEBOL,1
178,M-1986-19,T-46,CONCACAF,R-105,UEFA,3
179,M-1986-20,T-52,UEFA,R-069,UEFA,1
180,M-1986-21,T-57,UEFA,R-055,CAF,2
181,M-1986-22,T-39,AFC,R-122,CONMEBOL,5
182,M-1986-23,T-86,UEFA,R-198,UEFA,0
183,M-1986-24,T-22,UEFA,R-272,CONCACAF,1
184,M-1986-25,T-36,UEFA,R-407,UEFA,0
185,M-1986-26,T-72,UEFA,R-439,CAF,0
186,M-1986-27,T-03,CONMEBOL,R-442,CONCACAF,1
187,M-1986-28,T-71,AFC,R-415,CONCACAF,3
188,M-1986-29,T-39,AFC,R-343,UEFA,2
189,M-1986-30,T-55,CONMEBOL,R-129,UEFA,1
190,M-1986-31,T-28,UEFA,R-110,UEFA,1
191,M-1986-32,T-58,UEFA,R-414,UEFA,1
192,M-1986-33,T-01,CAF,R-426,AFC,1
193,M-1986-34,T-52,UEFA,R-222,UEFA,1
