,key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,referee_id,family_name,given_name,country_name,confederation_id,confederation_name,confederation_code
200,201,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,R-440,Tschenscher,Kurt,West Germany,CF-6,Union of European Football Associations,UEFA
201,202,WC-1970,1970 FIFA Men's World Cup,M-1970-02,Uruguay vs Israel,1970-06-02,group stage,Group 2,R-115,Davidson,Bobby,Scotland,CF-6,Union of European Football Associations,UEFA
202,203,WC-1970,1970 FIFA Men's World Cup,M-1970-03,England vs Romania,1970-06-02,group stage,Group 3,R-254,Loraux,Vital,Belgium,CF-6,Union of European Football Associations,UEFA
203,204,WC-1970,1970 FIFA Men's World Cup,M-1970-04,Peru vs Bulgaria,1970-06-02,group stage,Group 4,R-392,Sbardella,Antonio,Italy,CF-6,Union of European Football Associations,UEFA
204,205,WC-1970,1970 FIFA Men's World Cup,M-1970-05,Belgium vs El Salvador,1970-06-03,group stage,Group 1,R-358,Rădulescu,Andrei,Romania,CF-6,Union of European Football Associations,UEFA
205,206,WC-1970,1970 FIFA Men's World Cup,M-1970-06,Italy vs Sweden,1970-06-03,group stage,Group 2,R-429,Taylor,Jack,England,CF-6,Union of European Football Associations,UEFA
206,207,WC-1970,1970 FIFA Men's World Cup,M-1970-07,Brazil vs Czechoslovakia,1970-06-03,group stage,Group 3,R-043,Barreto Ruíz,Ramón,Uruguay,CF-4,South American Football Confederation,CONMEBOL
207,208,WC-1970,1970 FIFA Men's World Cup,M-1970-08,West Germany vs Morocco,1970-06-03,group stage,Group 4,R-456,van Ravens,Laurens,Netherlands,CF-6,Union of European Football Associations,UEFA
208,209,WC-1970,1970 FIFA Men's World Cup,M-1970-09,Soviet Union vs Belgium,1970-06-06,group stage,Group 1,R-394,Scheurer,Rudolf,Switzerland,CF-6,Union of European Football Associations,UEFA
209,210,WC-1970,1970 FIFA Men's World Cup,M-1970-10,Uruguay vs Italy,1970-06-06,group stage,Group 2,R-171,Glöckner,Rudi,East Germany,CF-6,Union of European Football Associations,UEFA
210,211,WC-1970,1970 FIFA Men's World Cup,M-1970-11,Romania vs Czechoslovakia,1970-06-06,group stage,Group 3,R-118,De Leo,Diego,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
211,212,WC-1970,1970 FIFA Men's World Cup,M-1970-12,Peru vs Morocco,1970-06-06,group stage,Group 4,R-036,Bahramov,Tofiq,Soviet Union,CF-6,Union of European Football Associations,UEFA
212,213,WC-1970,1970 FIFA Men's World Cup,M-1970-13,Mexico vs El Salvador,1970-06-07,group stage,Group 1,R-214,Kandil,Ali,United Arab Republic,CF-2,Confederation of African Football,CAF
213,214,WC-1970,1970 FIFA Men's World Cup,M-1970-14,Sweden vs Israel,1970-06-07,group stage,Group 2,R-427,Tarekegn,Seyoum,Ethiopia,CF-2,Confederation of African Football,CAF
214,215,WC-1970,1970 FIFA Men's World Cup,M-1970-15,Brazil vs England,1970-06-07,group stage,Group 3,R-223,Klein,Abraham,Israel,CF-6,Union of European Football Associations,UEFA
215,216,WC-1970,1970 FIFA Men's World Cup,M-1970-16,West Germany vs Bulgaria,1970-06-07,group stage,Group 4,R-329,Ortiz de Mendíbil,José María,Spain,CF-6,Union of European Football Associations,UEFA
216,217,WC-1970,1970 FIFA Men's World Cup,M-1970-17,Soviet Union vs El Salvador,1970-06-10,group stage,Group 1,R-194,Hormazábal Díaz,Rafael,Chile,CF-4,South American Football Confederation,CONMEBOL
217,218,WC-1970,1970 FIFA Men's World Cup,M-1970-18,Sweden vs Uruguay,1970-06-10,group stage,Group 2,R-234,Landauer,Henry,United States,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
218,219,WC-1970,1970 FIFA Men's World Cup,M-1970-19,Brazil vs Romania,1970-06-10,group stage,Group 3,R-274,Marschall,Ferdinand,Austria,CF-6,Union of European Football Associations,UEFA
219,220,WC-1970,1970 FIFA Men's World Cup,M-1970-20,West Germany vs Peru,1970-06-10,group stage,Group 4,R-008,Aguilar Elizalde,Abel,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
220,221,WC-1970,1970 FIFA Men's World Cup,M-1970-21,Mexico vs Belgium,1970-06-11,group stage,Group 1,R-319,Norberto Coerezza,Ángel,Argentina,CF-4,South American Football Confederation,CONMEBOL
221,222,WC-1970,1970 FIFA Men's World Cup,M-1970-22,Italy vs Israel,1970-06-11,group stage,Group 2,R-466,Vieira de Moraes,Ayrton,Brazil,CF-4,South American Football Confederation,CONMEBOL
222,223,WC-1970,1970 FIFA Men's World Cup,M-1970-23,England vs Czechoslovakia,1970-06-11,group stage,Group 3,R-259,Machin,Roger,France,CF-6,Union of European Football Associations,UEFA
223,224,WC-1970,1970 FIFA Men's World Cup,M-1970-24,Bulgaria vs Morocco,1970-06-11,group stage,Group 4,R-371,Ribeiro Saldanha,Antonio,Portugal,CF-6,Union of European Football Associations,UEFA
224,225,WC-1970,1970 FIFA Men's World Cup,M-1970-25,Brazil vs Peru,1970-06-14,quarter-finals,not applicable,R-254,Loraux,Vital,Belgium,CF-6,Union of European Football Associations,UEFA
225,226,WC-1970,1970 FIFA Men's World Cup,M-1970-26,Italy vs Mexico,1970-06-14,quarter-finals,not applicable,R-394,Scheurer,Rudolf,Switzerland,CF-6,Union of European Football Associations,UEFA
226,227,WC-1970,1970 FIFA Men's World Cup,M-1970-27,Soviet Union vs Uruguay,1970-06-14,quarter-finals,not applicable,R-456,van Ravens,Laurens,Netherlands,CF-6,Union of European Football Associations,UEFA
227,228,WC-1970,1970 FIFA Men's World Cup,M-1970-28,West Germany vs England,1970-06-14,quarter-finals,not applicable,R-319,Norberto Coerezza,Ángel,Argentina,CF-4,South American Football Confederation,CONMEBOL
228,229,WC-1970,1970 FIFA Men's World Cup,M-1970-29,Brazil vs Uruguay,1970-06-17,semi-finals,not applicable,R-329,Ortiz de Mendíbil,José María,Spain,CF-6,Union of European Football Associations,UEFA
229,230,WC-1970,1970 FIFA Men's World Cup,M-1970-30,Italy vs West Germany,1970-06-17,semi-finals,not applicable,R-486,Yamasaki Maldonado,Arturo,Peru,CF-4,South American Football Confederation,CONMEBOL
230,231,WC-1970,1970 FIFA Men's World Cup,M-1970-31,West Germany vs Uruguay,1970-06-20,third-place match,not applicable,R-392,Sbardella,Antonio,Italy,CF-6,Union of European Football Associations,UEFA
231,232,WC-1970,1970 FIFA Men's World Cup,M-1970-32,Brazil vs Italy,1970-06-21,final,not applicable,R-171,Glöckner,Rudi,East Germany,CF-6,Union of European Football Associations,UEFA
232,233,WC-1974,1974 FIFA Men's World Cup,M-1974-01,Brazil vs Yugoslavia,1974-06-13,group stage,Group 2,R-394,Scheurer,Rudolf,Switzerland,CF-6,Union of European Football Associations,UEFA
233,234,WC-1974,1974 FIFA Men's World Cup,M-1974-02,West Germany vs Chile,1974-06-14,group stage,Group 1,R-032,Babacan,Doğan,Turkey,CF-6,Union of European Football Associations,UEFA
234,235,WC-1974,1974 FIFA Men's World Cup,M-1974-03,East Germany vs Australia,1974-06-14,group stage,Group 1,R-309,N'Diaye,Youssou,Senegal,CF-2,Confederation of African Football,CAF
235,236,WC-1974,1974 FIFA Men's World Cup,M-1974-04,Zaire vs Scotland,1974-06-14,group stage,Group 2,R-397,Schulenburg,Gerhard,West Germany,CF-6,Union of European Football Associations,UEFA
236,237,WC-1974,1974 FIFA Men's World Cup,M-1974-05,Sweden vs Bulgaria,1974-06-15,group stage,Group 3,R-340,Peréz Núñez,Edison,Peru,CF-4,South American Football Confederation,CONMEBOL
237,238,WC-1974,1974 FIFA Men's World Cup,M-1974-06,Uruguay vs Netherlands,1974-06-15,group stage,Group 3,R-334,Palotai,Károly,Hungary,CF-6,Union of European Football Associations,UEFA
238,239,WC-1974,1974 FIFA Men's World Cup,M-1974-07,Italy vs Haiti,1974-06-15,group stage,Group 4,R-249,Llobregat,Vicente,Venezuela,CF-4,South American Football Confederation,CONMEBOL
239,240,WC-1974,1974 FIFA Men's World Cup,M-1974-08,Poland vs Argentina,1974-06-15,group stage,Group 4,R-434,Thomas,Clive,Wales,CF-6,Union of European Football Associations,UEFA
240,241,WC-1974,1974 FIFA Men's World Cup,M-1974-09,Australia vs West Germany,1974-06-18,group stage,Group 1,R-308,Mustafa Kamel,Mahmoud,Egypt,CF-2,Confederation of African Football,CAF
241,242,WC-1974,1974 FIFA Men's World Cup,M-1974-10,Chile vs East Germany,1974-06-18,group stage,Group 1,R-023,Angonese,Aurelio,Italy,CF-6,Union of European Football Associations,UEFA
